Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 114.0.0.0,,,2023-07-14 16:13:50,2023-07-14 16:14:58,1m - 8.616s,FAILED
,,,,,,,
Test Cases/Logging/Login Passed,Chrome 114.0.0.0,,,2023-07-14 16:13:50,2023-07-14 16:14:40,49.547s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-14 16:13:50,2023-07-14 16:13:53,2.955s,PASSED
"navigateToUrl(""http://192.168.8.33:7003/cbs9/login.html"")",Chrome 114.0.0.0,,,2023-07-14 16:13:53,2023-07-14 16:13:58,4.422s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-14 16:13:58,2023-07-14 16:13:58,0.137s,PASSED
"click(findTestObject(""Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""))",Chrome 114.0.0.0,,,2023-07-14 16:13:58,2023-07-14 16:13:58,0.544s,PASSED
"setText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""), ""cbs.user1"")",Chrome 114.0.0.0,,,2023-07-14 16:13:58,2023-07-14 16:13:59,0.933s,PASSED
"click(findTestObject(""Page_Silverlake Symmetri CBS9/input_Username_j_password""))",Chrome 114.0.0.0,,,2023-07-14 16:13:59,2023-07-14 16:14:00,0.405s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Username_j_password""), ""Go4mjZEPWYNpMeH1G75+Qw=="")",Chrome 114.0.0.0,,,2023-07-14 16:14:00,2023-07-14 16:14:00,0.517s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/span_Login""))",Chrome 114.0.0.0,,,2023-07-14 16:14:00,2023-07-14 16:14:39,38.668s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-14 16:14:39,2023-07-14 16:14:40,0.681s,PASSED
,,,,,,,
Test Cases/Logging/Login Failed,Chrome 114.0.0.0,,,2023-07-14 16:14:40,2023-07-14 16:14:48,8.695s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-14 16:14:40,2023-07-14 16:14:41,1.136s,PASSED
"navigateToUrl(""http://192.168.8.33:7003/cbs9/login.html"")",Chrome 114.0.0.0,,,2023-07-14 16:14:41,2023-07-14 16:14:45,3.732s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-14 16:14:45,2023-07-14 16:14:45,0.144s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""))",Chrome 114.0.0.0,,,2023-07-14 16:14:45,2023-07-14 16:14:45,0.394s,PASSED
"setText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""), ""cbs.user1"")",Chrome 114.0.0.0,,,2023-07-14 16:14:45,2023-07-14 16:14:46,0.807s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Username_j_password""))",Chrome 114.0.0.0,,,2023-07-14 16:14:46,2023-07-14 16:14:46,0.344s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Username_j_password""), ""5zEOG9P+0xVVVXi82UQ77cTu98lJn33i"")",Chrome 114.0.0.0,,,2023-07-14 16:14:46,2023-07-14 16:14:47,0.593s,PASSED
"waitForElementVisible(findTestObject(""Page_Silverlake Symmetri CBS9/button_Login""), 20)",Chrome 114.0.0.0,,,2023-07-14 16:14:47,2023-07-14 16:14:47,0.420s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/button_Login""))",Chrome 114.0.0.0,,,2023-07-14 16:14:47,2023-07-14 16:14:48,0.543s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/p_Invalid Credentials""), ""Invalid Credentials!"")",Chrome 114.0.0.0,,,2023-07-14 16:14:48,2023-07-14 16:14:48,0.467s,PASSED
,,,,,,,
Test Cases/Logging/Login Element Not Found,Chrome 114.0.0.0,,,2023-07-14 16:14:48,2023-07-14 16:14:58,9.928s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-14 16:14:49,2023-07-14 16:14:51,1.945s,PASSED
"navigateToUrl(""http://192.168.8.33:7003/cbs9/login.html"")",Chrome 114.0.0.0,,,2023-07-14 16:14:51,2023-07-14 16:14:55,4.526s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-14 16:14:55,2023-07-14 16:14:55,0.129s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""))",Chrome 114.0.0.0,,,2023-07-14 16:14:55,2023-07-14 16:14:56,0.386s,PASSED
"setText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""), ""cbs.user1"")",Chrome 114.0.0.0,,,2023-07-14 16:14:56,2023-07-14 16:14:56,0.861s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Username_j_password""))",Chrome 114.0.0.0,,,2023-07-14 16:14:56,2023-07-14 16:14:57,0.351s,PASSED
