Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 114.0.0.0,,,2023-07-14 16:02:49,2023-07-14 16:04:23,1m - 34.036s,FAILED
,,,,,,,
Test Cases/Logging/Login Passed,Chrome 114.0.0.0,,,2023-07-14 16:02:49,2023-07-14 16:04:04,1m - 14.603s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-14 16:02:50,2023-07-14 16:02:52,2.270s,PASSED
"navigateToUrl(""http://192.168.8.33:7003/cbs9/login.html"")",Chrome 114.0.0.0,,,2023-07-14 16:02:52,2023-07-14 16:02:55,2.787s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-14 16:02:55,2023-07-14 16:02:55,0.133s,PASSED
"click(findTestObject(""Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""))",Chrome 114.0.0.0,,,2023-07-14 16:02:55,2023-07-14 16:02:55,0.406s,PASSED
"setText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""), ""cbs.user1"")",Chrome 114.0.0.0,,,2023-07-14 16:02:55,2023-07-14 16:02:56,0.880s,PASSED
"click(findTestObject(""Page_Silverlake Symmetri CBS9/input_Username_j_password""))",Chrome 114.0.0.0,,,2023-07-14 16:02:56,2023-07-14 16:02:56,0.350s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Username_j_password""), ""Go4mjZEPWYNpMeH1G75+Qw=="")",Chrome 114.0.0.0,,,2023-07-14 16:02:56,2023-07-14 16:02:57,0.488s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/span_Login""))",Chrome 114.0.0.0,,,2023-07-14 16:02:57,2023-07-14 16:04:03,1m - 6.457s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-14 16:04:03,2023-07-14 16:04:04,0.645s,PASSED
,,,,,,,
Test Cases/Logging/Login Failed,Chrome 114.0.0.0,,,2023-07-14 16:04:04,2023-07-14 16:04:14,10.051s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-14 16:04:04,2023-07-14 16:04:05,1.153s,PASSED
"navigateToUrl(""http://192.168.8.33:7003/cbs9/login.html"")",Chrome 114.0.0.0,,,2023-07-14 16:04:05,2023-07-14 16:04:10,4.459s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-14 16:04:10,2023-07-14 16:04:10,0.137s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""))",Chrome 114.0.0.0,,,2023-07-14 16:04:10,2023-07-14 16:04:10,0.447s,PASSED
"setText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""), ""cbs.user1"")",Chrome 114.0.0.0,,,2023-07-14 16:04:10,2023-07-14 16:04:11,0.829s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Username_j_password""))",Chrome 114.0.0.0,,,2023-07-14 16:04:11,2023-07-14 16:04:11,0.322s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Username_j_password""), ""5zEOG9P+0xVVVXi82UQ77cTu98lJn33i"")",Chrome 114.0.0.0,,,2023-07-14 16:04:11,2023-07-14 16:04:12,0.569s,PASSED
"waitForElementVisible(findTestObject(""Page_Silverlake Symmetri CBS9/button_Login""), 20)",Chrome 114.0.0.0,,,2023-07-14 16:04:12,2023-07-14 16:04:12,0.380s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/button_Login""))",Chrome 114.0.0.0,,,2023-07-14 16:04:12,2023-07-14 16:04:13,1.107s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/p_Invalid Credentials""), ""Invalid Credentials!"")",Chrome 114.0.0.0,,,2023-07-14 16:04:13,2023-07-14 16:04:14,0.543s,PASSED
,,,,,,,
Test Cases/Logging/Login Element Not Found,Chrome 114.0.0.0,,,2023-07-14 16:04:14,2023-07-14 16:04:23,9.161s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-14 16:04:14,2023-07-14 16:04:16,1.803s,PASSED
"navigateToUrl(""http://192.168.8.33:7003/cbs9/login.html"")",Chrome 114.0.0.0,,,2023-07-14 16:04:16,2023-07-14 16:04:20,4.204s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-14 16:04:20,2023-07-14 16:04:20,0.123s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""))",Chrome 114.0.0.0,,,2023-07-14 16:04:20,2023-07-14 16:04:21,0.479s,PASSED
"setText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Faysal Bank Limited_j_username""), ""cbs.user1"")",Chrome 114.0.0.0,,,2023-07-14 16:04:21,2023-07-14 16:04:22,0.841s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Username_j_password""))",Chrome 114.0.0.0,,,2023-07-14 16:04:22,2023-07-14 16:04:22,0.319s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/input_Username_j_password""), ""Go4mjZEPWYNpMeH1G75+Qw=="")",Chrome 114.0.0.0,,,2023-07-14 16:04:22,2023-07-14 16:04:22,0.564s,PASSED
"click(findTestObject(""Object Repository/Page_Silverlake Symmetri CBS9/button_Log""))",Chrome 114.0.0.0,,,2023-07-14 16:04:22,2023-07-14 16:04:23,0.732s,FAILED
