Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
google,Chrome 114.0.0.0,,,2023-07-16 22:11:51,2023-07-16 22:12:11,19.588s,PASSED
,,,,,,,
Test Cases/Example/1,Chrome 114.0.0.0,,,2023-07-16 22:11:51,2023-07-16 22:11:58,7.195s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-16 22:11:51,2023-07-16 22:11:55,3.214s,PASSED
"navigateToUrl(""https://www.google.com.pk/"")",Chrome 114.0.0.0,,,2023-07-16 22:11:55,2023-07-16 22:11:57,2.123s,PASSED
"setText(findTestObject(""Object Repository/example/Page_Google/textarea__q""), ""pakistan"")",Chrome 114.0.0.0,,,2023-07-16 22:11:57,2023-07-16 22:11:58,0.992s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-16 22:11:58,2023-07-16 22:11:58,0.648s,PASSED
,,,,,,,
Test Cases/Example/2,Chrome 114.0.0.0,,,2023-07-16 22:11:58,2023-07-16 22:12:11,12.088s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-16 22:11:59,2023-07-16 22:12:00,1.205s,PASSED
"navigateToUrl(""https://www.google.com.pk/"")",Chrome 114.0.0.0,,,2023-07-16 22:12:00,2023-07-16 22:12:02,2.019s,PASSED
"setText(findTestObject(""Object Repository/example/Page_Google/textarea__q""), ""japan"")",Chrome 114.0.0.0,,,2023-07-16 22:12:02,2023-07-16 22:12:03,0.875s,PASSED
"click(findTestObject(""Object Repository/example/Page_Google/input_Delete_btnK""))",Chrome 114.0.0.0,,,2023-07-16 22:12:03,2023-07-16 22:12:04,1.279s,PASSED
"verifyElementText(findTestObject(""Object Repository/example/Page_japan - Google Search/div_Country in East Asia""), ""Country in East Asia"")",Chrome 114.0.0.0,,,2023-07-16 22:12:04,2023-07-16 22:12:11,6.445s,PASSED
